Region,Near_Rail,mean_elasticity,count
Blmngtn,False,0.020266399753618724,17
BrDale,False,-0.014209905660377347,16
BrkSide,False,-0.004730490748189858,50
BrkSide,True,0.0607150040225261,8
ClearCr,False,0.061500267522739446,28
CollgCr,False,0.00388323191345504,150
Crawfor,False,0.04984810137469136,51
Edwards,False,0.05313921971252567,100
Gilbert,False,0.0735182320441989,70
Gilbert,True,0.0030877839165132114,9
IDOTRR,False,-0.02702357836338419,35
MeadowV,False,0.12018716577540106,17
Mitchel,False,0.018046400319085297,49
NAmes,False,0.04176485714285715,225
NPkVill,False,-0.022640791476407934,9
NWAmes,False,0.035922492512832235,67
NWAmes,True,0.007973391652997994,6
NoRidge,False,0.11209060389111353,41
NridgHt,False,0.0040337250051535834,77
OldTown,False,0.07664008103241296,112
SWISU,False,0.02216028673835127,25
Sawyer,False,0.013267102396514161,68
Sawyer,True,0.013456790123456802,6
SawyerW,False,0.04993256211522125,53
SawyerW,True,-0.07726514730405777,6
Somerst,False,-0.025980654101995564,80
Somerst,True,0.33877087952697704,6
StoneBr,False,0.11690287769784174,25
Timber,False,0.06027988781451386,38
Veenker,False,0.09528773978315264,11
